generation,mean_best_so_far
0,0.96971037
1,0.96971037
2,0.96983232
3,0.96983232
4,0.96983232
5,0.96987805
6,0.96987805
7,0.96987805
8,0.96987805
9,0.96987805
10,0.96989330
11,0.96989330
12,0.96989330
13,0.96989330
14,0.96989330
15,0.96993903
16,0.96993903
17,0.96993903
18,0.96993903
19,0.96993903
20,0.96993903
21,0.96993903
22,0.96993903
23,0.96993903
24,0.96993903
25,0.96993903
26,0.96993903
27,0.96993903
28,0.96993903
29,0.96993903
30,0.96993903
31,0.96993903
32,0.96993903
33,0.96993903
34,0.96993903
35,0.96993903
36,0.96993903
37,0.96993903
38,0.96993903
39,0.96993903
40,0.96993903
41,0.96993903
42,0.96993903
43,0.96993903
44,0.96993903
45,0.96993903
46,0.96993903
47,0.96993903
48,0.96993903
49,0.96993903
50,0.96993903
51,0.96993903
52,0.96993903
53,0.96993903
54,0.96993903
55,0.96993903
56,0.96993903
57,0.96993903
58,0.96993903
59,0.96993903
60,0.96998476
61,0.96998476
62,0.96998476
63,0.96998476
64,0.96998476
65,0.96998476
66,0.96998476
67,0.96998476
68,0.96998476
69,0.96998476
70,0.96998476
71,0.96998476
72,0.96998476
73,0.96998476
74,0.96998476
75,0.96998476
76,0.96998476
77,0.96998476
78,0.96998476
79,0.96998476
80,0.96998476
81,0.96998476
82,0.96998476
83,0.96998476
84,0.96998476
85,0.96998476
86,0.96998476
87,0.96998476
88,0.96998476
89,0.96998476
90,0.96998476
91,0.96998476
92,0.96998476
93,0.96998476
94,0.96998476
95,0.96998476
96,0.96998476
97,0.96998476
98,0.96998476
99,0.96998476
100,0.96998476
101,0.96998476
102,0.96998476
103,0.96998476
104,0.96998476
105,0.96998476
106,0.96998476
107,0.96998476
108,0.96998476
109,0.96998476
110,0.96998476
111,0.96998476
112,0.96998476
113,0.96998476
114,0.96998476
115,0.97003049
116,0.97003049
117,0.97003049
118,0.97003049
119,0.97003049
120,0.97003049
121,0.97003049
122,0.97003049
123,0.97003049
124,0.97003049
125,0.97003049
126,0.97003049
127,0.97003049
128,0.97003049
129,0.97003049
130,0.97003049
131,0.97003049
132,0.97003049
133,0.97003049
134,0.97003049
135,0.97003049
136,0.97003049
137,0.97003049
138,0.97003049
139,0.97003049
140,0.97007622
141,0.97007622
142,0.97007622
143,0.97007622
144,0.97007622
145,0.97007622
146,0.97007622
147,0.97007622
148,0.97007622
149,0.97007622
