generation,mean_best_so_far
0,0.96992378
1,0.96998476
2,0.96998476
3,0.96998476
4,0.96998476
5,0.96998476
6,0.96998476
7,0.96998476
8,0.96998476
9,0.97003049
10,0.97003049
11,0.97003049
12,0.97003049
13,0.97003049
14,0.97003049
15,0.97003049
16,0.97003049
17,0.97003049
18,0.97003049
19,0.97003049
20,0.97003049
21,0.97007622
22,0.97007622
23,0.97007622
24,0.97007622
25,0.97007622
26,0.97007622
27,0.97007622
28,0.97007622
29,0.97007622
30,0.97007622
31,0.97007622
32,0.97007622
33,0.97007622
34,0.97007622
35,0.97007622
36,0.97007622
37,0.97007622
38,0.97007622
39,0.97007622
40,0.97007622
41,0.97007622
42,0.97007622
43,0.97007622
44,0.97007622
45,0.97007622
46,0.97007622
47,0.97007622
48,0.97007622
49,0.97007622
50,0.97012195
51,0.97012195
52,0.97012195
53,0.97012195
54,0.97012195
55,0.97012195
56,0.97012195
57,0.97012195
58,0.97012195
59,0.97012195
60,0.97012195
61,0.97012195
62,0.97012195
63,0.97012195
64,0.97012195
65,0.97012195
66,0.97012195
67,0.97012195
68,0.97012195
69,0.97012195
70,0.97012195
71,0.97012195
72,0.97012195
73,0.97012195
74,0.97012195
75,0.97012195
76,0.97012195
77,0.97012195
78,0.97012195
79,0.97012195
80,0.97012195
81,0.97012195
82,0.97012195
83,0.97012195
84,0.97012195
85,0.97012195
86,0.97012195
87,0.97012195
88,0.97012195
89,0.97012195
90,0.97012195
91,0.97012195
92,0.97012195
93,0.97012195
94,0.97012195
95,0.97012195
96,0.97012195
97,0.97012195
98,0.97012195
99,0.97012195
100,0.97012195
101,0.97012195
102,0.97012195
103,0.97012195
104,0.97012195
105,0.97012195
106,0.97012195
107,0.97012195
108,0.97012195
109,0.97012195
110,0.97012195
111,0.97012195
112,0.97012195
113,0.97012195
114,0.97012195
115,0.97012195
116,0.97012195
117,0.97012195
118,0.97012195
119,0.97012195
120,0.97012195
121,0.97012195
122,0.97012195
123,0.97012195
124,0.97012195
125,0.97012195
126,0.97012195
127,0.97012195
128,0.97012195
129,0.97012195
130,0.97012195
131,0.97012195
132,0.97012195
133,0.97012195
134,0.97012195
135,0.97012195
136,0.97012195
137,0.97012195
138,0.97012195
139,0.97012195
140,0.97012195
141,0.97012195
142,0.97012195
143,0.97012195
144,0.97012195
145,0.97012195
146,0.97012195
147,0.97012195
148,0.97012195
149,0.97012195
