generation,mean_best_so_far
0,0.90506789
1,0.90592468
2,0.90614340
3,0.90636213
4,0.90636213
5,0.90636213
6,0.90636213
7,0.90658085
8,0.90658085
9,0.90658085
10,0.90658085
11,0.90658085
12,0.90658085
13,0.90658085
14,0.90658085
15,0.90658085
16,0.90658085
17,0.90658085
18,0.90658085
19,0.90658085
20,0.90658085
21,0.90658085
22,0.90658085
23,0.90658085
24,0.90658085
25,0.90658085
26,0.90658085
27,0.90658085
28,0.90658085
29,0.90658085
30,0.90658085
31,0.90658085
32,0.90658085
33,0.90658085
34,0.90658085
35,0.90658085
36,0.90658085
37,0.90658085
38,0.90658085
39,0.90658085
40,0.90658085
41,0.90658085
42,0.90658085
43,0.90658085
44,0.90658085
45,0.90658085
46,0.90658085
47,0.90658085
48,0.90658085
49,0.90658085
50,0.90658085
51,0.90658085
52,0.90658085
53,0.90658085
54,0.90658085
55,0.90658085
56,0.90658085
57,0.90658085
58,0.90658085
59,0.90658085
60,0.90658085
61,0.90658085
62,0.90658085
63,0.90658085
64,0.90658085
65,0.90658085
66,0.90658085
67,0.90658085
68,0.90658085
69,0.90658085
70,0.90658085
71,0.90658085
72,0.90658085
73,0.90658085
74,0.90658085
75,0.90658085
76,0.90658085
77,0.90658085
78,0.90658085
79,0.90658085
80,0.90658085
81,0.90658085
82,0.90658085
83,0.90658085
84,0.90658085
85,0.90658085
86,0.90658085
87,0.90658085
88,0.90658085
89,0.90658085
90,0.90658085
91,0.90658085
92,0.90658085
93,0.90658085
94,0.90658085
95,0.90658085
96,0.90658085
97,0.90658085
98,0.90658085
99,0.90658085
100,0.90658085
101,0.90658085
102,0.90658085
103,0.90658085
104,0.90658085
105,0.90658085
106,0.90658085
107,0.90658085
108,0.90658085
109,0.90658085
110,0.90658085
111,0.90658085
112,0.90658085
113,0.90658085
114,0.90658085
115,0.90658085
116,0.90658085
117,0.90658085
118,0.90658085
119,0.90658085
120,0.90658085
121,0.90658085
122,0.90658085
123,0.90658085
124,0.90658085
125,0.90658085
126,0.90658085
127,0.90658085
128,0.90658085
129,0.90658085
130,0.90658085
131,0.90658085
132,0.90658085
133,0.90658085
134,0.90658085
135,0.90658085
136,0.90658085
137,0.90658085
138,0.90658085
139,0.90658085
140,0.90658085
141,0.90658085
142,0.90658085
143,0.90658085
144,0.90658085
145,0.90658085
146,0.90658085
147,0.90658085
148,0.90658085
149,0.90658085
