generation,mean_best_so_far
0,0.88134566
1,0.88373724
2,0.88391262
3,0.88442283
4,0.88448660
5,0.88472576
6,0.88518813
7,0.88529974
8,0.88533163
9,0.88533163
10,0.88533163
11,0.88553890
12,0.88553890
13,0.88577806
14,0.88603316
15,0.88603316
16,0.88622449
17,0.88624043
18,0.88633609
19,0.88662308
20,0.88711734
21,0.88780293
22,0.88780293
23,0.88780293
24,0.88780293
25,0.88780293
26,0.88788265
27,0.88791454
28,0.88791454
29,0.88791454
30,0.88791454
31,0.88791454
32,0.88791454
33,0.88791454
34,0.88791454
35,0.88791454
36,0.88791454
37,0.88791454
38,0.88791454
39,0.88791454
40,0.88810586
41,0.88810586
42,0.88810586
43,0.88810586
44,0.88810586
45,0.88810586
46,0.88810586
47,0.88810586
48,0.88810586
49,0.88810586
50,0.88810586
51,0.88810586
52,0.88810586
53,0.88810586
54,0.88810586
55,0.88810586
56,0.88810586
57,0.88810586
58,0.88810586
59,0.88810586
60,0.88810586
61,0.88810586
62,0.88810586
63,0.88810586
64,0.88810586
65,0.88810586
66,0.88810586
67,0.88810586
68,0.88810586
69,0.88810586
70,0.88810586
71,0.88810586
72,0.88810586
73,0.88810586
74,0.88810586
75,0.88810586
76,0.88810586
77,0.88810586
78,0.88810586
79,0.88810586
80,0.88810586
81,0.88810586
82,0.88810586
83,0.88810586
84,0.88810586
85,0.88810586
86,0.88810586
87,0.88810586
88,0.88810586
89,0.88810586
90,0.88810586
91,0.88810586
92,0.88810586
93,0.88810586
94,0.88810586
95,0.88810586
96,0.88810586
97,0.88810586
98,0.88810586
99,0.88810586
100,0.88810586
101,0.88810586
102,0.88810586
103,0.88810586
104,0.88810586
105,0.88810586
106,0.88810586
107,0.88810586
108,0.88810586
109,0.88810586
110,0.88810586
111,0.88810586
112,0.88810586
113,0.88810586
114,0.88810586
115,0.88810586
116,0.88810586
117,0.88810586
118,0.88810586
119,0.88810586
120,0.88810586
121,0.88810586
122,0.88810586
123,0.88810586
124,0.88810586
125,0.88810586
126,0.88810586
127,0.88810586
128,0.88810586
129,0.88810586
130,0.88810586
131,0.88810586
132,0.88810586
133,0.88810586
134,0.88818558
135,0.88818558
136,0.88818558
137,0.88818558
138,0.88818558
139,0.88826530
140,0.88826530
141,0.88826530
142,0.88826530
143,0.88826530
144,0.88826530
145,0.88826530
146,0.88826530
147,0.88826530
148,0.88826530
149,0.88826530
