row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
1,1,000000000000001,0.64652423,0.29818693,1,0.62354236
2,2,000000000000010,0.61176658,0.30541839,1,0.58871240
3,3,000000000000011,0.68797831,0.24797369,2,0.64549858
4,4,000000000000100,0.54719387,0.01871253,1,0.52700675
5,5,000000000000101,0.68271683,0.10729957,2,0.64164384
6,6,000000000000110,0.64110331,0.10369632,2,0.60006635
7,7,000000000000111,0.67426658,0.41597899,3,0.61010679
8,8,000000000001000,0.53236607,0.01932297,1,0.51217284
9,9,000000000001001,0.68176021,0.09918544,2,0.64076835
10,10,000000000001010,0.60921557,0.07673684,2,0.56844820
11,11,000000000001011,0.67091836,0.53585907,3,0.60555977
12,12,000000000001100,0.53396045,0.02983888,2,0.49366206
13,13,000000000001101,0.66581632,0.16099729,3,0.60420635
14,14,000000000001110,0.61878189,0.19763804,3,0.55680551
15,15,000000000001111,0.67570153,0.34803605,4,0.59222117
16,16,000000000010000,0.73389669,0.05075945,1,0.71338910
17,17,000000000010001,0.76578443,0.14936780,2,0.72429076
18,18,000000000010010,0.72098215,0.16169348,2,0.67936522
19,19,000000000010011,0.74585459,0.61157145,3,0.67973888
20,20,000000000010100,0.73915817,0.04813099,2,0.69867686
21,21,000000000010101,0.76419005,0.22597788,3,0.70193027
22,22,000000000010110,0.71667731,0.25410236,3,0.65413628
23,23,000000000010111,0.75366709,0.31867080,4,0.67048038
24,24,000000000011000,0.73915817,0.01168147,2,0.69904135
25,25,000000000011001,0.76291453,0.20526604,3,0.70086187
26,26,000000000011010,0.70551659,0.36411589,3,0.64187543
27,27,000000000011011,0.74952168,0.39503648,4,0.66557132
28,28,000000000011100,0.73533163,0.06399976,3,0.67469164
29,29,000000000011101,0.75956632,0.20618119,4,0.67750451
30,30,000000000011110,0.71014032,0.22630874,4,0.62787723
31,31,000000000011111,0.75302933,0.33754311,5,0.64965390
32,32,000000000100000,0.73262118,0.00000000,1,0.71262118
33,33,000000000100001,0.77008928,0.08760601,2,0.72921322
34,34,000000000100010,0.73309949,0.18936980,2,0.69120580
35,35,000000000100011,0.75239158,0.36242059,3,0.68876738
36,36,000000000100100,0.72911352,0.04689992,2,0.68864453
37,37,000000000100101,0.76801657,0.13174072,3,0.70669917
38,38,000000000100110,0.71221301,0.14485994,3,0.65076441
39,39,000000000100111,0.75940689,0.27306785,4,0.67667621
40,40,000000000101000,0.72815690,0.00164256,2,0.68814047
41,41,000000000101001,0.77136479,0.16946127,3,0.70967018
42,42,000000000101010,0.71269134,0.17171040,3,0.65097423
43,43,000000000101011,0.75733418,0.43044296,4,0.67302975
44,44,000000000101100,0.73501276,0.00957385,3,0.67491702
45,45,000000000101101,0.75908801,0.16304413,4,0.67745757
46,46,000000000101110,0.71699618,0.18198232,4,0.63517636
47,47,000000000101111,0.75940688,0.25630938,5,0.65684379
48,48,000000000110000,0.72480868,0.04439945,2,0.68436469
49,49,000000000110001,0.76721938,0.18868030,3,0.70533258
50,50,000000000110010,0.72209823,0.19368302,3,0.66016140
51,51,000000000110011,0.77136479,0.29345671,4,0.68843022
52,52,000000000110100,0.72448980,0.04942735,3,0.66399553
53,53,000000000110101,0.77471300,0.15824515,4,0.69313055
54,54,000000000110110,0.73580995,0.17102403,4,0.65409971
