generation,mean_best_so_far
0,0.96718749
1,0.97114582
2,0.97114582
3,0.97114582
4,0.97114582
5,0.97114582
6,0.97114582
7,0.97114582
8,0.97114582
9,0.97166666
10,0.97166666
11,0.97166666
12,0.97166666
13,0.97166666
14,0.97166666
15,0.97166666
16,0.97166666
17,0.97166666
18,0.97166666
19,0.97166666
20,0.97166666
21,0.97499999
22,0.97614583
23,0.97614583
24,0.97614583
25,0.97614583
26,0.97614583
27,0.97614583
28,0.97614583
29,0.97614583
30,0.97614583
31,0.97614583
32,0.97614583
33,0.97614583
34,0.97614583
35,0.97614583
36,0.97614583
37,0.97614583
38,0.97614583
39,0.97614583
40,0.97614583
41,0.97614583
42,0.97614583
43,0.97614583
44,0.97614583
45,0.97614583
46,0.97614583
47,0.97614583
48,0.97614583
49,0.97614583
50,0.97614583
51,0.97614583
52,0.97614583
53,0.97614583
54,0.97614583
55,0.97614583
56,0.97614583
57,0.97614583
58,0.97614583
59,0.97614583
60,0.97614583
61,0.97614583
62,0.97645833
63,0.97645833
64,0.97645833
65,0.97645833
66,0.97645833
67,0.97645833
68,0.97645833
69,0.97645833
70,0.97645833
71,0.97645833
72,0.97645833
73,0.97645833
74,0.97645833
75,0.97645833
76,0.97645833
77,0.97645833
78,0.97645833
79,0.97645833
80,0.97645833
81,0.97645833
82,0.97760416
83,0.97760416
84,0.97760416
85,0.97760416
86,0.97760416
87,0.97760416
88,0.97760416
89,0.97760416
90,0.97760416
91,0.97760416
92,0.97760416
93,0.97760416
94,0.97760416
95,0.97760416
96,0.97760416
97,0.97760416
98,0.97760416
99,0.97760416
100,0.97760416
101,0.97760416
102,0.97791666
103,0.97791666
104,0.97791666
105,0.97791666
106,0.97791666
107,0.97791666
108,0.97791666
109,0.97791666
110,0.97791666
111,0.97791666
112,0.97791666
113,0.97791666
114,0.97791666
115,0.97791666
116,0.97791666
117,0.97791666
118,0.97791666
119,0.97791666
120,0.97791666
121,0.97791666
122,0.97791666
123,0.97791666
124,0.97822916
125,0.97822916
126,0.97822916
127,0.97822916
128,0.97822916
129,0.97822916
130,0.97822916
131,0.97822916
132,0.97822916
133,0.97822916
134,0.97822916
135,0.97822916
136,0.97822916
137,0.97822916
138,0.97822916
139,0.97822916
140,0.97822916
141,0.97822916
142,0.97822916
143,0.97822916
144,0.97822916
145,0.97822916
146,0.97822916
147,0.97822916
148,0.97822916
149,0.97822916
