generation,mean_best_so_far
0,0.95520832
1,0.95999999
2,0.96020832
3,0.96416665
4,0.96468749
5,0.96562499
6,0.96718749
7,0.96718749
8,0.96718749
9,0.96916666
10,0.96937499
11,0.96979166
12,0.97135416
13,0.97187499
14,0.97249999
15,0.97302083
16,0.97302083
17,0.97302083
18,0.97322916
19,0.97343749
20,0.97364582
21,0.97364582
22,0.97385416
23,0.97385416
24,0.97385416
25,0.97385416
26,0.97385416
27,0.97385416
28,0.97385416
29,0.97385416
30,0.97385416
31,0.97510416
32,0.97510416
33,0.97510416
34,0.97510416
35,0.97510416
36,0.97510416
37,0.97510416
38,0.97510416
39,0.97510416
40,0.97604166
41,0.97604166
42,0.97604166
43,0.97656249
44,0.97656249
45,0.97656249
46,0.97656249
47,0.97656249
48,0.97677083
49,0.97677083
50,0.97677083
51,0.97677083
52,0.97677083
53,0.97697916
54,0.97697916
55,0.97697916
56,0.97697916
57,0.97697916
58,0.97697916
59,0.97697916
60,0.97697916
61,0.97697916
62,0.97697916
63,0.97697916
64,0.97697916
65,0.97697916
66,0.97697916
67,0.97697916
68,0.97697916
69,0.97697916
70,0.97697916
71,0.97697916
72,0.97697916
73,0.97697916
74,0.97697916
75,0.97697916
76,0.97697916
77,0.97697916
78,0.97697916
79,0.97697916
80,0.97697916
81,0.97697916
82,0.97697916
83,0.97697916
84,0.97697916
85,0.97697916
86,0.97697916
87,0.97697916
88,0.97697916
89,0.97697916
90,0.97697916
91,0.97697916
92,0.97697916
93,0.97697916
94,0.97697916
95,0.97697916
96,0.97697916
97,0.97697916
98,0.97697916
99,0.97697916
100,0.97697916
101,0.97697916
102,0.97729166
103,0.97729166
104,0.97729166
105,0.97729166
106,0.97729166
107,0.97729166
108,0.97729166
109,0.97729166
110,0.97729166
111,0.97729166
112,0.97729166
113,0.97729166
114,0.97729166
115,0.97729166
116,0.97729166
117,0.97729166
118,0.97729166
119,0.97729166
120,0.97729166
121,0.97729166
122,0.97729166
123,0.97729166
124,0.97729166
125,0.97729166
126,0.97729166
127,0.97729166
128,0.97729166
129,0.97729166
130,0.97729166
131,0.97729166
132,0.97729166
133,0.97729166
134,0.97729166
135,0.97729166
136,0.97729166
137,0.97729166
138,0.97729166
139,0.97729166
140,0.97729166
141,0.97729166
142,0.97729166
143,0.97729166
144,0.97729166
145,0.97729166
146,0.97729166
147,0.97729166
148,0.97729166
149,0.97729166
