generation,mean_best_so_far
0,0.82687613
1,0.84317689
2,0.84833671
3,0.85314042
4,0.85786458
5,0.86263052
6,0.86367605
7,0.86389516
8,0.86411426
9,0.86433337
10,0.86433337
11,0.86433337
12,0.86433337
13,0.86433337
14,0.86433337
15,0.86433337
16,0.86433337
17,0.86433337
18,0.86433337
19,0.86433337
20,0.86433337
21,0.86433337
22,0.86433337
23,0.86433337
24,0.86433337
25,0.86433337
26,0.86433337
27,0.86433337
28,0.86433337
29,0.86433337
30,0.86433337
31,0.86433337
32,0.86433337
33,0.86433337
34,0.86433337
35,0.86433337
36,0.86433337
37,0.86433337
38,0.86433337
39,0.86433337
40,0.86433337
41,0.86433337
42,0.86433337
43,0.86433337
44,0.86433337
45,0.86433337
46,0.86433337
47,0.86433337
48,0.86433337
49,0.86433337
50,0.86433337
51,0.86433337
52,0.86433337
53,0.86433337
54,0.86433337
55,0.86433337
56,0.86433337
57,0.86433337
58,0.86433337
59,0.86433337
60,0.86433337
61,0.86433337
62,0.86433337
63,0.86433337
64,0.86433337
65,0.86433337
66,0.86433337
67,0.86433337
68,0.86433337
69,0.86433337
70,0.86433337
71,0.86433337
72,0.86433337
73,0.86433337
74,0.86433337
75,0.86433337
76,0.86433337
77,0.86433337
78,0.86433337
79,0.86433337
80,0.86433337
81,0.86433337
82,0.86433337
83,0.86433337
84,0.86433337
85,0.86433337
86,0.86433337
87,0.86433337
88,0.86433337
89,0.86433337
90,0.86433337
91,0.86433337
92,0.86433337
93,0.86433337
94,0.86433337
95,0.86433337
96,0.86433337
97,0.86433337
98,0.86433337
99,0.86433337
100,0.86433337
101,0.86433337
102,0.86433337
103,0.86433337
104,0.86433337
105,0.86433337
106,0.86433337
107,0.86433337
108,0.86433337
109,0.86433337
110,0.86433337
111,0.86433337
112,0.86433337
113,0.86433337
114,0.86433337
115,0.86433337
116,0.86433337
117,0.86433337
118,0.86433337
119,0.86433337
120,0.86433337
121,0.86433337
122,0.86433337
123,0.86433337
124,0.86433337
125,0.86433337
126,0.86433337
127,0.86433337
128,0.86433337
129,0.86433337
130,0.86433337
131,0.86433337
132,0.86433337
133,0.86433337
134,0.86433337
135,0.86433337
136,0.86433337
137,0.86433337
138,0.86433337
139,0.86433337
140,0.86433337
141,0.86433337
142,0.86433337
143,0.86433337
144,0.86433337
145,0.86433337
146,0.86433337
147,0.86433337
148,0.86433337
149,0.86433337
