row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
1,1,0000000000000001,0.43854167,0.71281392,1,0.41141353
2,2,0000000000000010,0.42395834,0.05658569,1,0.40339248
3,3,0000000000000011,0.37812501,0.03717508,2,0.33775326
4,4,0000000000000100,0.40000001,0.02483108,1,0.37975170
5,5,0000000000000101,0.49791667,0.03507779,2,0.45756590
6,6,0000000000000110,0.40104167,0.06419260,2,0.36039975
7,7,0000000000000111,0.47395834,0.09968672,3,0.41296147
8,8,0000000000001000,0.54583334,0.06169739,1,0.52521637
9,9,0000000000001001,0.61666667,0.05638041,2,0.57610287
10,10,0000000000001010,0.53958334,0.04853053,2,0.49909803
11,11,0000000000001011,0.58541667,0.05773765,3,0.52483930
12,12,0000000000001100,0.68750000,0.06606291,2,0.64683937
13,13,0000000000001101,0.72083334,0.06607903,3,0.66017255
14,14,0000000000001110,0.65312501,0.05457608,3,0.59257925
15,15,0000000000001111,0.71770833,0.08874448,4,0.63682089
16,16,0000000000010000,0.50520834,0.05490042,1,0.48465934
17,17,0000000000010001,0.48958334,0.05286036,2,0.44905474
18,18,0000000000010010,0.47291668,0.06853903,2,0.43223129
19,19,0000000000010011,0.47604168,0.06020571,3,0.41543962
20,20,0000000000010100,0.49270834,0.05233574,2,0.45218498
21,21,0000000000010101,0.58541668,0.05600154,3,0.52485666
22,22,0000000000010110,0.51562501,0.05881202,3,0.45503689
23,23,0000000000010111,0.58020834,0.19019703,4,0.49830637
24,24,0000000000011000,0.64791667,0.10360443,2,0.60688063
25,25,0000000000011001,0.61666667,0.05844084,3,0.55608226
26,26,0000000000011010,0.57812501,0.05975829,3,0.51752743
27,27,0000000000011011,0.63437500,0.05535813,4,0.55382142
28,28,0000000000011100,0.72395834,0.07595475,3,0.66319879
29,29,0000000000011101,0.77812499,0.06837930,4,0.69744120
30,30,0000000000011110,0.72187500,0.06661412,4,0.64120886
31,31,0000000000011111,0.76666667,0.09469206,5,0.66571975
32,32,0000000000100000,0.39895834,0.04980338,1,0.37846031
33,33,0000000000100001,0.45000001,0.04890730,2,0.40951093
34,34,0000000000100010,0.41354167,0.04529937,2,0.37308868
35,35,0000000000100011,0.45000000,0.05460756,3,0.38945393
36,36,0000000000100100,0.41250001,0.05082983,2,0.37199171
37,37,0000000000100101,0.49062501,0.05640501,3,0.43006096
38,38,0000000000100110,0.40208334,0.05085436,3,0.34157480
39,39,0000000000100111,0.48125001,0.05717174,4,0.40067829
40,40,0000000000101000,0.57500001,0.05284519,2,0.53447156
41,41,0000000000101001,0.64062501,0.04378303,3,0.58018718
42,42,0000000000101010,0.52395834,0.04458750,3,0.46351247
43,43,0000000000101011,0.62812500,0.05093081,4,0.54761569
44,44,0000000000101100,0.68645834,0.04303986,3,0.62602794
45,45,0000000000101101,0.73333334,0.05376609,4,0.65279568
46,46,0000000000101110,0.66250000,0.07327472,4,0.58176725
47,47,0000000000101111,0.70104167,0.05051291,5,0.60053654
48,48,0000000000110000,0.50520834,0.05338491,2,0.46467449
49,49,0000000000110001,0.51250001,0.05072169,3,0.45199279
