row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
1,1,0000000000000001,0.07465104,0.03920500,1,0.05425899
2,2,0000000000000010,0.09277604,0.00992697,1,0.07267677
3,3,0000000000000011,0.17254167,0.01790021,2,0.13236266
4,4,0000000000000100,0.10585937,0.00110412,1,0.08584833
5,5,0000000000000101,0.19080208,0.01846872,2,0.15061740
6,6,0000000000000110,0.25740104,0.02939874,2,0.21710705
7,7,0000000000000111,0.38058854,0.18780711,3,0.31871047
8,8,0000000000001000,0.11165625,0.00525883,1,0.09160366
9,9,0000000000001001,0.20060937,0.00842252,2,0.16052515
10,10,0000000000001010,0.28476041,0.00845299,2,0.24467588
11,11,0000000000001011,0.41400000,0.13560879,3,0.35264391
12,12,0000000000001100,0.27643750,0.03321290,2,0.23610537
13,13,0000000000001101,0.41275000,0.03081987,3,0.35244180
14,14,0000000000001110,0.49331771,0.01064272,3,0.43321129
15,15,0000000000001111,0.60438541,0.47892991,4,0.51959611
16,16,0000000000010000,0.11912500,0.14042597,1,0.09772074
17,17,0000000000010001,0.19685938,0.00693070,2,0.15679007
18,18,0000000000010010,0.24620833,0.01384102,2,0.20606992
19,19,0000000000010011,0.37357292,0.00859385,3,0.31348698
20,20,0000000000010100,0.25370313,0.03353448,2,0.21336778
21,21,0000000000010101,0.37701562,0.11984806,3,0.31581714
22,22,0000000000010110,0.45835417,0.00856472,3,0.39826852
23,23,0000000000010111,0.56316146,0.01031688,4,0.48305830
24,24,0000000000011000,0.25510937,0.00621039,2,0.21504727
25,25,0000000000011001,0.38563021,0.00946038,3,0.32553560
26,26,0000000000011010,0.48987500,0.00958453,3,0.42977915
27,27,0000000000011011,0.60678125,0.00924131,4,0.52668884
28,28,0000000000011100,0.46944792,0.03541519,3,0.40909377
29,29,0000000000011101,0.58624479,0.00953147,4,0.50614948
30,30,0000000000011110,0.65451562,0.00869564,4,0.57442867
31,31,0000000000011111,0.73641146,0.41669315,5,0.63224452
32,32,0000000000100000,0.11972396,0.00562986,1,0.09966766
33,33,0000000000100001,0.20223437,0.01110698,2,0.16212331
34,34,0000000000100010,0.24733333,0.00641260,2,0.20726921
35,35,0000000000100011,0.38782292,0.01025361,3,0.32772038
36,36,0000000000100100,0.23315104,0.00692922,2,0.19308175
37,37,0000000000100101,0.37292187,0.13358192,3,0.31158606
38,38,0000000000100110,0.42046354,0.00833723,3,0.36038017
39,39,0000000000100111,0.55967708,0.01128110,4,0.47956427
40,40,0000000000101000,0.29666667,0.00674588,2,0.25659921
41,41,0000000000101001,0.43140104,0.00898780,3,0.37131116
42,42,0000000000101010,0.50349480,0.00779350,3,0.44341686
43,43,0000000000101011,0.63134375,0.04221376,4,0.55092162
44,44,0000000000101100,0.42580208,0.00837655,3,0.36571832
45,45,0000000000101101,0.55585937,0.01031013,4,0.47575627
46,46,0000000000101110,0.61850521,0.04082006,4,0.53809701
47,47,0000000000101111,0.71597396,0.03995191,5,0.61557444
48,48,0000000000110000,0.27533333,0.03735183,2,0.23495982
49,49,0000000000110001,0.39921354,0.12063052,3,0.33800724
50,50,0000000000110010,0.46495313,0.04409838,3,0.40451214
51,51,0000000000110011,0.58629167,0.00812471,4,0.50621043
52,52,0000000000110100,0.41744791,0.01018802,3,0.35734603
53,53,0000000000110101,0.54034896,0.00871754,4,0.46026178
54,54,0000000000110110,0.60131771,0.04081742,4,0.52090954
55,55,0000000000110111,0.69023438,0.14316883,5,0.58880269
56,56,0000000000111000,0.47621354,0.00768455,3,0.41613670
57,57,0000000000111001,0.60256771,0.04772432,4,0.52209047
58,58,0000000000111010,0.67216146,0.00864609,4,0.59207500
59,59,0000000000111011,0.75053646,0.04035260,5,0.65013293
60,60,0000000000111100,0.58751042,0.00921913,4,0.50741823
61,61,0000000000111101,0.68392708,0.04318821,5,0.58349520
62,62,0000000000111110,0.74853646,0.05569901,5,0.64797947
63,63,0000000000111111,0.80804166,0.42687771,6,0.68377288
64,64,0000000001000000,0.09617188,0.00586538,1,0.07611322
65,65,0000000001000001,0.19233854,0.00773525,2,0.15226119
66,66,0000000001000010,0.23734896,0.01243770,2,0.19722458
67,67,0000000001000011,0.38691146,0.00902254,3,0.32682123
68,68,0000000001000100,0.22594792,0.03575711,2,0.18559035
69,69,0000000001000101,0.38104166,0.01057887,3,0.32093587
70,70,0000000001000110,0.44432291,0.01072597,3,0.38421566
71,71,0000000001000111,0.57631250,0.04117194,4,0.49590078
72,72,0000000001001000,0.22904687,0.03630263,2,0.18868385
73,73,0000000001001001,0.38425000,0.00873216,3,0.32416268
74,74,0000000001001010,0.48380729,0.14615299,3,0.42234576
75,75,0000000001001011,0.61777604,0.00860616,4,0.53768998
76,76,0000000001001100,0.44213542,0.00841181,3,0.38205130
77,77,0000000001001101,0.59000522,0.00881971,4,0.50991702
78,78,0000000001001110,0.65569271,0.03748019,4,0.57531791
79,79,0000000001001111,0.74238542,0.01702793,5,0.64221514
80,80,0000000001010000,0.23885417,0.00727569,2,0.19878141
81,81,0000000001010001,0.38137500,0.00853992,3,0.32128960
82,82,0000000001010010,0.43284896,0.01240188,3,0.37272494
83,83,0000000001010011,0.57155729,0.01213205,4,0.49143597
84,84,0000000001010100,0.41921354,0.00978668,3,0.35911568
85,85,0000000001010101,0.55409375,0.04179567,4,0.47367579
86,86,0000000001010110,0.62483854,0.04040952,4,0.54443445
87,87,0000000001010111,0.70796874,0.01745225,5,0.60779422
88,88,0000000001011000,0.43456250,0.00820085,3,0.37448049
89,89,0000000001011001,0.57866667,0.13384649,4,0.49732821
90,90,0000000001011010,0.65368229,0.01175784,4,0.57356471
91,91,0000000001011011,0.74739063,0.04626705,5,0.64692796
92,92,0000000001011100,0.62319791,0.00980022,4,0.54309991
93,93,0000000001011101,0.72281249,0.03937333,5,0.62241876
94,94,0000000001011110,0.77634375,0.01068702,5,0.67623688
95,95,0000000001011111,0.83236459,0.04595469,6,0.71190504
96,96,0000000001100000,0.24606771,0.14058138,2,0.20466189
97,97,0000000001100001,0.39666146,0.11945140,3,0.33546694
98,98,0000000001100010,0.44480208,0.01025627,3,0.38469952
99,99,0000000001100011,0.58776563,0.05835001,4,0.50718213
100,100,0000000001100100,0.41336979,0.00824452,3,0.35328734
101,101,0000000001100101,0.55369271,0.00906403,4,0.47360207
102,102,0000000001100110,0.59566667,0.01022408,4,0.51556443
103,103,0000000001100111,0.70303646,0.04014917,5,0.60263497
104,104,0000000001101000,0.45433333,0.02978755,3,0.39403546
105,105,0000000001101001,0.60220833,0.01012408,4,0.52210709
106,106,0000000001101010,0.65170313,0.00953078,4,0.57160782
107,107,0000000001101011,0.75246354,0.01061054,5,0.65235744
108,108,0000000001101100,0.58380729,0.00833776,4,0.50372391
109,109,0000000001101101,0.69654167,0.04514832,5,0.59609018
110,110,0000000001101110,0.73874480,0.00978657,5,0.63864693
111,111,0000000001101111,0.81251042,0.05511281,6,0.69195929
112,112,0000000001110000,0.47046875,0.04353961,3,0.41003336
113,113,0000000001110001,0.59963021,0.00925810,4,0.51953763
114,114,0000000001110010,0.64101041,0.00936461,4,0.56091677
115,115,0000000001110011,0.72952083,0.01093325,5,0.62941150
116,116,0000000001110100,0.58879167,0.00878998,4,0.50870377
117,117,0000000001110101,0.69434376,0.04781545,5,0.59386560
118,118,0000000001110110,0.73434375,0.04162498,5,0.63392750
119,119,0000000001110111,0.80181771,0.01947705,6,0.68162294
120,120,0000000001111000,0.64386979,0.01019307,4,0.56376786
121,121,0000000001111001,0.73896875,0.01086727,5,0.63886007
122,122,0000000001111010,0.78353646,0.01048441,5,0.68343161
123,123,0000000001111011,0.83765104,0.03860758,6,0.71726496
124,124,0000000001111100,0.71810417,0.01057924,5,0.61799837
125,125,0000000001111101,0.79549479,0.04898213,6,0.67500497
126,126,0000000001111110,0.83073438,0.04679523,6,0.71026643
127,127,0000000001111111,0.87841666,0.55905082,7,0.73282615
128,128,0000000010000000,0.09244271,0.00669554,1,0.07237575
129,129,0000000010000001,0.17511979,0.00721388,2,0.13504765
130,130,0000000010000010,0.25146354,0.00668546,2,0.21139669
131,131,0000000010000011,0.39951563,0.00939076,3,0.33942172
132,132,0000000010000100,0.23657813,0.03584570,2,0.19621967
133,133,0000000010000101,0.36605729,0.00830901,3,0.30597420
134,134,0000000010000110,0.49832813,0.04211129,3,0.43790701
135,135,0000000010000111,0.61106250,0.03997990,4,0.53066270
136,136,0000000010001000,0.24791667,0.00742958,2,0.20784237
137,137,0000000010001001,0.38686979,0.00934243,3,0.32677637
138,138,0000000010001010,0.51875000,0.03184610,3,0.45843153
139,139,0000000010001011,0.63520833,0.00870940,4,0.55512124
140,140,0000000010001100,0.47750000,0.01053229,3,0.41739468
141,141,0000000010001101,0.59949480,0.00923521,4,0.51940244
142,142,0000000010001110,0.67694792,0.04198987,4,0.59652802
143,143,0000000010001111,0.75111458,0.01064226,5,0.65100816
144,144,0000000010010000,0.22620313,0.00876119,2,0.18611551
145,145,0000000010010001,0.35833854,0.00875602,3,0.29825098
146,146,0000000010010010,0.46572396,0.05021157,3,0.40522184
147,147,0000000010010011,0.58718750,0.02515634,4,0.50693594
148,148,0000000010010100,0.43020312,0.00833737,3,0.37011975
149,149,0000000010010101,0.56179167,0.04116533,4,0.48138001
150,150,0000000010010110,0.66022396,0.00850236,4,0.58013893
151,151,0000000010010111,0.73734375,0.04137937,5,0.63692996
152,152,0000000010011000,0.44804687,0.00885956,3,0.38795828
153,153,0000000010011001,0.58078646,0.00866606,4,0.50069979
154,154,0000000010011010,0.68103646,0.00973634,4,0.60093910
155,155,0000000010011011,0.76038541,0.02613690,5,0.66012405
156,156,0000000010011100,0.63925521,0.00864627,4,0.55916875
157,157,0000000010011101,0.73064583,0.04660627,5,0.63017977
158,158,0000000010011110,0.78634375,0.00936602,5,0.68625009
159,159,0000000010011111,0.83975000,0.01153135,6,0.71963468
160,160,0000000010100000,0.26139583,0.13969318,2,0.21999890
161,161,0000000010100001,0.41189063,0.00841093,3,0.35180652
162,162,0000000010100010,0.47977604,0.00886428,3,0.41968740
163,163,0000000010100011,0.62020313,0.04006279,4,0.53980250
164,164,0000000010100100,0.40530729,0.00991306,3,0.34520816
165,165,0000000010100101,0.55531250,0.04391124,4,0.47487339
166,166,0000000010100110,0.62562500,0.00863087,4,0.54553869
167,167,0000000010100111,0.72320313,0.04345065,5,0.62276862
168,168,0000000010101000,0.47553125,0.00908060,3,0.41544044
169,169,0000000010101001,0.61693229,0.13307574,4,0.53560153
170,170,0000000010101010,0.68403125,0.01137996,4,0.60391745
171,171,0000000010101011,0.76568229,0.04320084,5,0.66525028
172,172,0000000010101100,0.60050521,0.01095076,4,0.52039570
173,173,0000000010101101,0.71246354,0.03837913,5,0.61207975
174,174,0000000010101110,0.76000521,0.01000615,5,0.65990515
175,175,0000000010101111,0.82298958,0.01271792,6,0.70286241
176,176,0000000010110000,0.46941146,0.00910122,3,0.40932045
177,177,0000000010110001,0.59861979,0.00903310,4,0.51852946
178,178,0000000010110010,0.66975520,0.01032856,4,0.58965192
179,179,0000000010110011,0.75002604,0.01146311,5,0.64991141
180,180,0000000010110100,0.58494791,0.04097204,4,0.50453819
181,181,0000000010110101,0.69137500,0.01033725,5,0.59127163
182,182,0000000010110110,0.75332812,0.04929996,5,0.65283512
183,183,0000000010110111,0.81247917,0.04464510,6,0.69203272
