generation,mean_best_so_far
0,0.91536458
1,0.91666667
2,0.91666667
3,0.91666667
4,0.91666667
5,0.91666667
6,0.91666667
7,0.91666667
8,0.91666667
9,0.91666667
10,0.91666667
11,0.91666667
12,0.91666667
13,0.91666667
14,0.91666667
15,0.91666667
16,0.91666667
17,0.91666667
18,0.91666667
19,0.91666667
20,0.91666667
21,0.91809896
22,0.92018229
23,0.92018229
24,0.92018229
25,0.92018229
26,0.92018229
27,0.92018229
28,0.92018229
29,0.92018229
30,0.92018229
31,0.92018229
32,0.92018229
33,0.92018229
34,0.92018229
35,0.92018229
36,0.92018229
37,0.92018229
38,0.92018229
39,0.92018229
40,0.92018229
41,0.92018229
42,0.92018229
43,0.92018229
44,0.92018229
45,0.92018229
46,0.92018229
47,0.92018229
48,0.92018229
49,0.92018229
50,0.92018229
51,0.92018229
52,0.92018229
53,0.92018229
54,0.92018229
55,0.92018229
56,0.92018229
57,0.92018229
58,0.92018229
59,0.92018229
60,0.92018229
61,0.92213542
62,0.92304688
63,0.92304688
64,0.92330729
65,0.92330729
66,0.92330729
67,0.92330729
68,0.92330729
69,0.92330729
70,0.92330729
71,0.92330729
72,0.92330729
73,0.92330729
74,0.92330729
75,0.92330729
76,0.92330729
77,0.92330729
78,0.92330729
79,0.92330729
80,0.92330729
81,0.92330729
82,0.92343750
83,0.92395833
84,0.92395833
85,0.92395833
86,0.92513021
87,0.92513021
88,0.92513021
89,0.92513021
90,0.92513021
91,0.92513021
92,0.92513021
93,0.92513021
94,0.92513021
95,0.92513021
96,0.92513021
97,0.92513021
98,0.92513021
99,0.92513021
100,0.92513021
101,0.92565104
102,0.92591146
103,0.92591146
104,0.92695312
105,0.92695312
106,0.92695312
107,0.92695312
108,0.92695312
109,0.92695312
110,0.92695312
111,0.92695312
112,0.92695312
113,0.92695312
114,0.92695312
115,0.92695312
116,0.92695312
117,0.92695312
118,0.92695312
119,0.92695312
120,0.92695312
121,0.92695312
122,0.92695312
123,0.92695312
124,0.92695312
125,0.92747396
126,0.92760417
127,0.92760417
128,0.92760417
129,0.92760417
130,0.92760417
131,0.92760417
132,0.92760417
133,0.92760417
134,0.92760417
135,0.92760417
136,0.92760417
137,0.92760417
138,0.92760417
139,0.92760417
140,0.92760417
141,0.92760417
142,0.92760417
143,0.92760417
144,0.92929688
145,0.92981771
146,0.92981771
147,0.92981771
148,0.92981771
149,0.92981771
