generation,mean_best_so_far
0,0.90065104
1,0.90273437
2,0.90976563
3,0.91106771
4,0.91197917
5,0.91367188
6,0.91458333
7,0.91458333
8,0.91601563
9,0.91601563
10,0.91705729
11,0.91705729
12,0.91757813
13,0.91783854
14,0.91783854
15,0.91783854
16,0.91783854
17,0.91848958
18,0.92018229
19,0.92031250
20,0.92083333
21,0.92083333
22,0.92083333
23,0.92083333
24,0.92083333
25,0.92187500
26,0.92304688
27,0.92304688
28,0.92304688
29,0.92369792
30,0.92369792
31,0.92473958
32,0.92473958
33,0.92473958
34,0.92473958
35,0.92473958
36,0.92473958
37,0.92473958
38,0.92513021
39,0.92513021
40,0.92513021
41,0.92513021
42,0.92513021
43,0.92513021
44,0.92513021
45,0.92513021
46,0.92513021
47,0.92513021
48,0.92513021
49,0.92513021
50,0.92513021
51,0.92513021
52,0.92513021
53,0.92513021
54,0.92617187
55,0.92617187
56,0.92617187
57,0.92617187
58,0.92617187
59,0.92617187
60,0.92617187
61,0.92617187
62,0.92617187
63,0.92617187
64,0.92617187
65,0.92617187
66,0.92617187
67,0.92617187
68,0.92617187
69,0.92617187
70,0.92617187
71,0.92617187
72,0.92617187
73,0.92617187
74,0.92617187
75,0.92617187
76,0.92617187
77,0.92617187
78,0.92617187
79,0.92617187
80,0.92617187
81,0.92617187
82,0.92617187
83,0.92617187
84,0.92617187
85,0.92617187
86,0.92617187
87,0.92617187
88,0.92617187
89,0.92617187
90,0.92617187
91,0.92617187
92,0.92617187
93,0.92617187
94,0.92617188
95,0.92617188
96,0.92617188
97,0.92617188
98,0.92617188
99,0.92617188
100,0.92617188
101,0.92656250
102,0.92656250
103,0.92656250
104,0.92656250
105,0.92656250
106,0.92656250
107,0.92669271
108,0.92669271
109,0.92669271
110,0.92669271
111,0.92734375
112,0.92734375
113,0.92734375
114,0.92734375
115,0.92734375
116,0.92734375
117,0.92734375
118,0.92734375
119,0.92734375
120,0.92734375
121,0.92734375
122,0.92734375
123,0.92747396
124,0.92747396
125,0.92747396
126,0.92747396
127,0.92747396
128,0.92747396
129,0.92747396
130,0.92747396
131,0.92747396
132,0.92747396
133,0.92812500
134,0.92812500
135,0.92812500
136,0.92825521
137,0.92825521
138,0.92825521
139,0.92890625
140,0.92890625
141,0.92890625
142,0.92890625
143,0.92890625
144,0.92890625
145,0.92890625
146,0.92890625
147,0.92890625
148,0.92890625
149,0.92890625
