row,decimal,fitness,bitstring
8,8,0.81997400,0000000000000001000
13,13,0.81081424,0000000000000001101
16,16,0.81109868,0000000000000010000
38,38,0.79118967,0000000000000100110
73,73,0.80129845,0000000000001001001
168,168,0.81993879,0000000000010101000
256,256,0.81720455,0000000000100000000
576,576,0.79060159,0000000001001000000
661,661,0.78915935,0000000001010010101
889,889,0.73581589,0000000001101111001
1018,1018,0.69893205,0000000001111111010
1024,1024,0.82553471,0000000010000000000
1029,1029,0.81386002,0000000010000000101
1128,1128,0.78288694,0000000010001101000
1793,1793,0.74379378,0000000011100000001
1858,1858,0.73281348,0000000011101000010
2048,2048,0.82673372,0000000100000000000
2124,2124,0.79388634,0000000100001001100
2132,2132,0.78073114,0000000100001010100
2178,2178,0.81063422,0000000100010000010
2187,2187,0.78618239,0000000100010001011
2308,2308,0.80225458,0000000100100000100
2317,2317,0.78899016,0000000100100001101
2453,2453,0.76242435,0000000100110010101
2910,2910,0.68049965,0000000101101011110
3221,3221,0.76416217,0000000110010010101
3723,3723,0.75629506,0000000111010001011
3851,3851,0.72916829,0000000111100001011
4072,4072,0.72346411,0000000111111101000
4102,4102,0.83950016,0000001000000000110
4148,4148,0.79898265,0000001000000110100
4224,4224,0.84585514,0000001000010000000
4355,4355,0.81927866,0000001000100000011
4356,4356,0.81465384,0000001000100000100
4390,4390,0.79016417,0000001000100100110
4632,4632,0.77010815,0000001001000011000
4646,4646,0.78368088,0000001001000100110
5124,5124,0.81707743,0000001010000000100
5179,5179,0.74290593,0000001010000111011
5560,5560,0.76191778,0000001010110111000
5800,5800,0.76946292,0000001011010101000
6346,6346,0.77785385,0000001100011001010
6402,6402,0.79864720,0000001100100000010
6952,6952,0.75473771,0000001101100101000
7430,7430,0.79033658,0000001110100000110
8192,8192,0.80829614,0000010000000000000
8195,8195,0.84823218,0000010000000000011
8316,8316,0.76524482,0000010000001111100
8453,8453,0.79480980,0000010000100000101
8512,8512,0.80647155,0000010000101000000
8788,8788,0.75640813,0000010001001010100
9253,9253,0.77681012,0000010010000100101
9276,9276,0.75990954,0000010010000111100
10529,10529,0.75789237,0000010100100100001
11634,11634,0.69248388,0000010110101110010
11913,11913,0.73989374,0000010111010001001
11925,11925,0.72906921,0000010111010010101
12289,12289,0.83369051,0000011000000000001
12290,12290,0.83104075,0000011000000000010
12320,12320,0.82174893,0000011000000100000
12360,12360,0.79271047,0000011000001001000
12368,12368,0.77325418,0000011000001010000
12724,12724,0.73598401,0000011000110110100
12864,12864,0.78448382,0000011001001000000
12905,12905,0.73534909,0000011001001101001
12961,12961,0.78194827,0000011001010100001
14325,14325,0.65007682,0000011011111110101
14740,14740,0.73858353,0000011100110010100
16530,16530,0.78168258,0000100000010010010
16944,16944,0.77238922,0000100001000110000
16983,16983,0.73470378,0000100001001010111
17363,17363,0.70928300,0000100001111010011
17489,17489,0.74966265,0000100010001010001
17960,17960,0.77469449,0000100011000101000
18223,18223,0.70781057,0000100011100101111
