generation,mean_best_so_far
0,0.78402519
1,0.79851923
2,0.81402995
3,0.82881994
4,0.83886520
5,0.84111512
6,0.84358545
7,0.84358545
8,0.84433270
9,0.84507995
10,0.84507995
11,0.84582720
12,0.84582720
13,0.84582720
14,0.84582720
15,0.84582720
16,0.84582720
17,0.84582720
18,0.84582720
19,0.84582720
20,0.84582720
21,0.84582720
22,0.84582720
23,0.84582720
24,0.84582720
25,0.84582720
26,0.84582720
27,0.84582720
28,0.84582720
29,0.84582720
30,0.84582720
31,0.84582720
32,0.84582720
33,0.84582720
34,0.84582720
35,0.84582720
36,0.84582720
37,0.84582720
38,0.84582720
39,0.84582720
40,0.84582720
41,0.84582720
42,0.84582720
43,0.84582720
44,0.84582720
45,0.84582720
46,0.84582720
47,0.84582720
48,0.84582720
49,0.84582720
50,0.84582720
51,0.84582720
52,0.84582720
53,0.84582720
54,0.84582720
55,0.84582720
56,0.84582720
57,0.84582720
58,0.84728136
59,0.84728136
60,0.84728136
61,0.84728136
62,0.84728136
63,0.84728136
64,0.84728136
65,0.84728136
66,0.84728136
67,0.84728136
68,0.84728136
69,0.84728136
70,0.84728136
71,0.84728136
72,0.84728136
73,0.84728136
74,0.84728136
75,0.84728136
76,0.84728136
77,0.84728136
78,0.84728136
79,0.84728136
80,0.84728136
81,0.84728136
82,0.84728136
83,0.84728136
84,0.84728136
85,0.84728136
86,0.84728136
87,0.84728136
88,0.84728136
89,0.84728136
90,0.84728136
91,0.84728136
92,0.84728136
93,0.84728136
94,0.84728136
95,0.84728136
96,0.84728136
97,0.84728136
98,0.84728136
99,0.84728136
100,0.84728136
101,0.84728136
102,0.84728136
103,0.84728136
104,0.84728136
105,0.84728136
106,0.84728136
107,0.84728136
108,0.84728136
109,0.84728136
110,0.84728136
111,0.84728136
112,0.84728136
113,0.84728136
114,0.84728136
115,0.84728136
116,0.84728136
117,0.84728136
118,0.84728136
119,0.84728136
120,0.84728136
121,0.84728136
122,0.84728136
123,0.84728136
124,0.84728136
125,0.84728136
126,0.84728136
127,0.84728136
128,0.84728136
129,0.84728136
130,0.84728136
131,0.84728136
132,0.84728136
133,0.84728136
134,0.84728136
135,0.84728136
136,0.84728136
137,0.84728136
138,0.84728136
139,0.84728136
140,0.84728136
141,0.84728136
142,0.84728136
143,0.84728136
144,0.84728136
145,0.84728136
146,0.84728136
147,0.84728136
148,0.84728136
149,0.84728136
