generation,mean_best_so_far
0,4.00000000
1,4.00000000
2,4.00000000
3,4.00000000
4,4.00000000
5,4.00000000
6,4.00000000
7,4.00000000
8,4.00000000
9,4.00000000
10,4.00000000
11,4.00000000
12,4.00000000
13,4.00000000
14,4.00000000
15,4.00000000
16,4.00000000
17,4.00000000
18,4.00000000
19,4.00000000
20,4.00000000
21,4.00000000
22,4.00000000
23,4.00000000
24,4.00000000
25,4.00000000
26,4.00000000
27,4.00000000
28,4.00000000
29,4.00000000
30,4.00000000
31,4.00000000
32,4.00000000
33,4.00000000
34,4.00000000
35,4.00000000
36,4.00000000
37,4.00000000
38,4.00000000
39,4.00000000
40,4.00000000
41,4.00000000
42,4.00000000
43,4.00000000
44,4.00000000
45,4.00000000
46,4.00000000
47,4.00000000
48,4.00000000
49,4.00000000
50,4.00000000
51,4.00000000
52,4.00000000
53,4.00000000
54,4.00000000
55,4.00000000
56,4.00000000
57,4.00000000
58,4.00000000
59,4.00000000
60,4.00000000
61,4.00000000
62,4.00000000
63,4.00000000
64,4.00000000
65,4.00000000
66,4.00000000
67,4.00000000
68,4.00000000
69,4.00000000
70,4.00000000
71,4.00000000
72,4.00000000
73,4.00000000
74,4.00000000
75,4.00000000
76,4.00000000
77,4.00000000
78,4.00000000
79,4.00000000
80,4.00000000
81,4.00000000
82,4.00000000
83,4.00000000
84,4.00000000
85,4.00000000
86,4.00000000
87,4.00000000
88,4.00000000
89,4.00000000
90,4.00000000
91,4.00000000
92,4.00000000
93,4.00000000
94,4.00000000
95,4.00000000
96,4.00000000
97,4.00000000
98,4.00000000
99,4.00000000
