row,decimal,fitness,bitstring
16,15,4.00000000,0000000000001111
24,23,4.00000000,0000000000010111
28,27,4.00000000,0000000000011011
30,29,4.00000000,0000000000011101
31,30,4.00000000,0000000000011110
40,39,4.00000000,0000000000100111
44,43,4.00000000,0000000000101011
46,45,4.00000000,0000000000101101
47,46,4.00000000,0000000000101110
52,51,4.00000000,0000000000110011
54,53,4.00000000,0000000000110101
55,54,4.00000000,0000000000110110
58,57,4.00000000,0000000000111001
59,58,4.00000000,0000000000111010
61,60,4.00000000,0000000000111100
72,71,4.00000000,0000000001000111
76,75,4.00000000,0000000001001011
78,77,4.00000000,0000000001001101
79,78,4.00000000,0000000001001110
84,83,4.00000000,0000000001010011
86,85,4.00000000,0000000001010101
87,86,4.00000000,0000000001010110
90,89,4.00000000,0000000001011001
91,90,4.00000000,0000000001011010
93,92,4.00000000,0000000001011100
100,99,4.00000000,0000000001100011
102,101,4.00000000,0000000001100101
103,102,4.00000000,0000000001100110
106,105,4.00000000,0000000001101001
107,106,4.00000000,0000000001101010
109,108,4.00000000,0000000001101100
114,113,4.00000000,0000000001110001
115,114,4.00000000,0000000001110010
117,116,4.00000000,0000000001110100
121,120,4.00000000,0000000001111000
136,135,4.00000000,0000000010000111
140,139,4.00000000,0000000010001011
142,141,4.00000000,0000000010001101
143,142,4.00000000,0000000010001110
148,147,4.00000000,0000000010010011
150,149,4.00000000,0000000010010101
151,150,4.00000000,0000000010010110
154,153,4.00000000,0000000010011001
155,154,4.00000000,0000000010011010
157,156,4.00000000,0000000010011100
164,163,4.00000000,0000000010100011
166,165,4.00000000,0000000010100101
167,166,4.00000000,0000000010100110
170,169,4.00000000,0000000010101001
171,170,4.00000000,0000000010101010
173,172,4.00000000,0000000010101100
178,177,4.00000000,0000000010110001
179,178,4.00000000,0000000010110010
181,180,4.00000000,0000000010110100
185,184,4.00000000,0000000010111000
196,195,4.00000000,0000000011000011
198,197,4.00000000,0000000011000101
199,198,4.00000000,0000000011000110
202,201,4.00000000,0000000011001001
203,202,4.00000000,0000000011001010
205,204,4.00000000,0000000011001100
210,209,4.00000000,0000000011010001
211,210,4.00000000,0000000011010010
213,212,4.00000000,0000000011010100
217,216,4.00000000,0000000011011000
226,225,4.00000000,0000000011100001
227,226,4.00000000,0000000011100010
229,228,4.00000000,0000000011100100
233,232,4.00000000,0000000011101000
241,240,4.00000000,0000000011110000
264,263,4.00000000,0000000100000111
268,267,4.00000000,0000000100001011
270,269,4.00000000,0000000100001101
271,270,4.00000000,0000000100001110
276,275,4.00000000,0000000100010011
278,277,4.00000000,0000000100010101
279,278,4.00000000,0000000100010110
282,281,4.00000000,0000000100011001
283,282,4.00000000,0000000100011010
285,284,4.00000000,0000000100011100
292,291,4.00000000,0000000100100011
294,293,4.00000000,0000000100100101
295,294,4.00000000,0000000100100110
298,297,4.00000000,0000000100101001
299,298,4.00000000,0000000100101010
301,300,4.00000000,0000000100101100
306,305,4.00000000,0000000100110001
307,306,4.00000000,0000000100110010
309,308,4.00000000,0000000100110100
313,312,4.00000000,0000000100111000
324,323,4.00000000,0000000101000011
326,325,4.00000000,0000000101000101
327,326,4.00000000,0000000101000110
330,329,4.00000000,0000000101001001
331,330,4.00000000,0000000101001010
333,332,4.00000000,0000000101001100
338,337,4.00000000,0000000101010001
339,338,4.00000000,0000000101010010
341,340,4.00000000,0000000101010100
345,344,4.00000000,0000000101011000
354,353,4.00000000,0000000101100001
355,354,4.00000000,0000000101100010
357,356,4.00000000,0000000101100100
361,360,4.00000000,0000000101101000
369,368,4.00000000,0000000101110000
388,387,4.00000000,0000000110000011
390,389,4.00000000,0000000110000101
391,390,4.00000000,0000000110000110
394,393,4.00000000,0000000110001001
395,394,4.00000000,0000000110001010
397,396,4.00000000,0000000110001100
402,401,4.00000000,0000000110010001
403,402,4.00000000,0000000110010010
405,404,4.00000000,0000000110010100
409,408,4.00000000,0000000110011000
418,417,4.00000000,0000000110100001
419,418,4.00000000,0000000110100010
421,420,4.00000000,0000000110100100
425,424,4.00000000,0000000110101000
433,432,4.00000000,0000000110110000
450,449,4.00000000,0000000111000001
451,450,4.00000000,0000000111000010
453,452,4.00000000,0000000111000100
457,456,4.00000000,0000000111001000
465,464,4.00000000,0000000111010000
481,480,4.00000000,0000000111100000
520,519,4.00000000,0000001000000111
524,523,4.00000000,0000001000001011
526,525,4.00000000,0000001000001101
527,526,4.00000000,0000001000001110
532,531,4.00000000,0000001000010011
534,533,4.00000000,0000001000010101
535,534,4.00000000,0000001000010110
538,537,4.00000000,0000001000011001
539,538,4.00000000,0000001000011010
541,540,4.00000000,0000001000011100
548,547,4.00000000,0000001000100011
550,549,4.00000000,0000001000100101
551,550,4.00000000,0000001000100110
554,553,4.00000000,0000001000101001
555,554,4.00000000,0000001000101010
557,556,4.00000000,0000001000101100
562,561,4.00000000,0000001000110001
563,562,4.00000000,0000001000110010
565,564,4.00000000,0000001000110100
569,568,4.00000000,0000001000111000
580,579,4.00000000,0000001001000011
582,581,4.00000000,0000001001000101
583,582,4.00000000,0000001001000110
586,585,4.00000000,0000001001001001
587,586,4.00000000,0000001001001010
589,588,4.00000000,0000001001001100
594,593,4.00000000,0000001001010001
595,594,4.00000000,0000001001010010
597,596,4.00000000,0000001001010100
601,600,4.00000000,0000001001011000
610,609,4.00000000,0000001001100001
611,610,4.00000000,0000001001100010
613,612,4.00000000,0000001001100100
617,616,4.00000000,0000001001101000
625,624,4.00000000,0000001001110000
644,643,4.00000000,0000001010000011
646,645,4.00000000,0000001010000101
647,646,4.00000000,0000001010000110
650,649,4.00000000,0000001010001001
651,650,4.00000000,0000001010001010
653,652,4.00000000,0000001010001100
658,657,4.00000000,0000001010010001
659,658,4.00000000,0000001010010010
661,660,4.00000000,0000001010010100
665,664,4.00000000,0000001010011000
674,673,4.00000000,0000001010100001
675,674,4.00000000,0000001010100010
677,676,4.00000000,0000001010100100
681,680,4.00000000,0000001010101000
689,688,4.00000000,0000001010110000
706,705,4.00000000,0000001011000001
707,706,4.00000000,0000001011000010
709,708,4.00000000,0000001011000100
713,712,4.00000000,0000001011001000
721,720,4.00000000,0000001011010000
