row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
1,0,0000000000000000,0.00000000,0.00000000,0,0.00000000
2,1,0000000000000001,1.00000000,0.00000000,1,1.00000000
3,2,0000000000000010,1.00000000,0.00000000,1,1.00000000
4,3,0000000000000011,2.00000000,0.00000000,2,2.00000000
5,4,0000000000000100,1.00000000,0.00000000,1,1.00000000
6,5,0000000000000101,2.00000000,0.00000000,2,2.00000000
7,6,0000000000000110,2.00000000,0.00000000,2,2.00000000
8,7,0000000000000111,3.00000000,0.00000000,3,3.00000000
9,8,0000000000001000,1.00000000,0.00000000,1,1.00000000
10,9,0000000000001001,2.00000000,0.00000000,2,2.00000000
11,10,0000000000001010,2.00000000,0.00000000,2,2.00000000
12,11,0000000000001011,3.00000000,0.00000000,3,3.00000000
13,12,0000000000001100,2.00000000,0.00000000,2,2.00000000
14,13,0000000000001101,3.00000000,0.00000000,3,3.00000000
15,14,0000000000001110,3.00000000,0.00000000,3,3.00000000
16,15,0000000000001111,4.00000000,0.00000000,4,4.00000000
17,16,0000000000010000,1.00000000,0.00000000,1,1.00000000
18,17,0000000000010001,2.00000000,0.00000000,2,2.00000000
19,18,0000000000010010,2.00000000,0.00000000,2,2.00000000
20,19,0000000000010011,3.00000000,0.00000000,3,3.00000000
21,20,0000000000010100,2.00000000,0.00000000,2,2.00000000
22,21,0000000000010101,3.00000000,0.00000000,3,3.00000000
23,22,0000000000010110,3.00000000,0.00000000,3,3.00000000
24,23,0000000000010111,4.00000000,0.00000000,4,4.00000000
25,24,0000000000011000,2.00000000,0.00000000,2,2.00000000
26,25,0000000000011001,3.00000000,0.00000000,3,3.00000000
27,26,0000000000011010,3.00000000,0.00000000,3,3.00000000
28,27,0000000000011011,4.00000000,0.00000000,4,4.00000000
29,28,0000000000011100,3.00000000,0.00000000,3,3.00000000
30,29,0000000000011101,4.00000000,0.00000000,4,4.00000000
31,30,0000000000011110,4.00000000,0.00000000,4,4.00000000
32,31,0000000000011111,3.00000000,0.00000000,5,3.00000000
33,32,0000000000100000,1.00000000,0.00000000,1,1.00000000
34,33,0000000000100001,2.00000000,0.00000000,2,2.00000000
35,34,0000000000100010,2.00000000,0.00000000,2,2.00000000
36,35,0000000000100011,3.00000000,0.00000000,3,3.00000000
37,36,0000000000100100,2.00000000,0.00000000,2,2.00000000
38,37,0000000000100101,3.00000000,0.00000000,3,3.00000000
39,38,0000000000100110,3.00000000,0.00000000,3,3.00000000
40,39,0000000000100111,4.00000000,0.00000000,4,4.00000000
41,40,0000000000101000,2.00000000,0.00000000,2,2.00000000
42,41,0000000000101001,3.00000000,0.00000000,3,3.00000000
43,42,0000000000101010,3.00000000,0.00000000,3,3.00000000
44,43,0000000000101011,4.00000000,0.00000000,4,4.00000000
45,44,0000000000101100,3.00000000,0.00000000,3,3.00000000
46,45,0000000000101101,4.00000000,0.00000000,4,4.00000000
47,46,0000000000101110,4.00000000,0.00000000,4,4.00000000
48,47,0000000000101111,3.00000000,0.00000000,5,3.00000000
49,48,0000000000110000,2.00000000,0.00000000,2,2.00000000
50,49,0000000000110001,3.00000000,0.00000000,3,3.00000000
51,50,0000000000110010,3.00000000,0.00000000,3,3.00000000
52,51,0000000000110011,4.00000000,0.00000000,4,4.00000000
53,52,0000000000110100,3.00000000,0.00000000,3,3.00000000
54,53,0000000000110101,4.00000000,0.00000000,4,4.00000000
55,54,0000000000110110,4.00000000,0.00000000,4,4.00000000
56,55,0000000000110111,3.00000000,0.00000000,5,3.00000000
57,56,0000000000111000,3.00000000,0.00000000,3,3.00000000
58,57,0000000000111001,4.00000000,0.00000000,4,4.00000000
59,58,0000000000111010,4.00000000,0.00000000,4,4.00000000
60,59,0000000000111011,3.00000000,0.00000000,5,3.00000000
61,60,0000000000111100,4.00000000,0.00000000,4,4.00000000
62,61,0000000000111101,3.00000000,0.00000000,5,3.00000000
63,62,0000000000111110,3.00000000,0.00000000,5,3.00000000
64,63,0000000000111111,2.00000000,0.00000000,6,2.00000000
65,64,0000000001000000,1.00000000,0.00000000,1,1.00000000
66,65,0000000001000001,2.00000000,0.00000000,2,2.00000000
67,66,0000000001000010,2.00000000,0.00000000,2,2.00000000
68,67,0000000001000011,3.00000000,0.00000000,3,3.00000000
69,68,0000000001000100,2.00000000,0.00000000,2,2.00000000
70,69,0000000001000101,3.00000000,0.00000000,3,3.00000000
71,70,0000000001000110,3.00000000,0.00000000,3,3.00000000
72,71,0000000001000111,4.00000000,0.00000000,4,4.00000000
73,72,0000000001001000,2.00000000,0.00000000,2,2.00000000
74,73,0000000001001001,3.00000000,0.00000000,3,3.00000000
75,74,0000000001001010,3.00000000,0.00000000,3,3.00000000
76,75,0000000001001011,4.00000000,0.00000000,4,4.00000000
77,76,0000000001001100,3.00000000,0.00000000,3,3.00000000
78,77,0000000001001101,4.00000000,0.00000000,4,4.00000000
79,78,0000000001001110,4.00000000,0.00000000,4,4.00000000
80,79,0000000001001111,3.00000000,0.00000000,5,3.00000000
81,80,0000000001010000,2.00000000,0.00000000,2,2.00000000
